Gene stable ID	Gene name	Chromosome/scaffold name
WBGene00000253	bli-3	I
WBGene00000254	bli-4	I
WBGene00000255	bli-5	III
WBGene00000256	bli-6	IV
WBGene00000257	bmk-1	V
WBGene00000259	bpl-1	II
WBGene00000262	bra-1	X
WBGene00000263	F23H11.5	III
WBGene00000264	brc-1	III
WBGene00000265	brd-1	III
WBGene00000266	bre-1	IV
WBGene00000267	bre-2	III
WBGene00000268	bre-3	III
WBGene00000269	bre-4	I
WBGene00000270	bre-5	IV
WBGene00000271	brf-1	II
WBGene00000272	bro-1	I
WBGene00000273	brp-1	III
WBGene00000274	btf-1	II
WBGene00000275	bub-1	I
WBGene00000276	byn-1	III
WBGene00000277	cab-1	X
WBGene00000279	cah-1	III
WBGene00000280	cah-2	II
WBGene00000281	cah-3	X
WBGene00000282	cah-4	X
WBGene00000283	cah-5	X
WBGene00000284	cah-6	I
WBGene00000285	cal-1	V
WBGene00000286	cal-2	II
WBGene00000287	cal-3	IV
WBGene00000288	cal-4	IV
WBGene00000289	cam-1	II
WBGene00000292	cap-1	IV
WBGene00000293	cap-2	II
WBGene00000294	cas-1	X
WBGene00000295	cat-1	X
WBGene00000296	cat-2	II
WBGene00000298	cat-4	V
WBGene00000301	cav-1	IV
WBGene00000302	cav-2	V
WBGene00000308	C04A11.t1	X
WBGene00000310	C05C9.t1	X
WBGene00000311	C05C9.t2	X
WBGene00000366	cbp-1	III
WBGene00000367	cca-1	X
WBGene00000368	ccb-1	I
WBGene00000369	ccf-1	III
WBGene00000370	ccg-1	IV
WBGene00000371	cox-5B	I
WBGene00000372	cyp-13A7	II
WBGene00000373	cyp-14A5	V
WBGene00000374	cyp-31A1	IV
WBGene00000375	cyp-44A1	II
WBGene00000376	ccr-4	IV
WBGene00000377	cct-1	II
WBGene00000378	cct-2	II
WBGene00000379	cct-4	II
WBGene00000380	cct-5	III
WBGene00000381	cct-6	III
WBGene00000382	cdc-6	I
WBGene00000383	cdc-14	II
WBGene00000386	cdc-25.1	I
WBGene00000387	cdc-25.2	V
WBGene00000388	cdc-25.3	III
WBGene00000389	cdc-25.4	II
WBGene00000390	cdc-42	II
WBGene00000391	cdd-1	X
WBGene00000392	cdd-2	IV
WBGene00000393	cdf-1	X
WBGene00000395	cdh-3	III
WBGene00000396	cdh-4	III
WBGene00000397	cdh-5	IV
WBGene00000399	cdh-7	II
WBGene00000401	cdh-9	X
WBGene00000402	cdh-10	IV
WBGene00000403	casy-1	II
WBGene00000405	cdk-1	III
WBGene00000406	cdk-4	X
WBGene00000407	cdk-5	III
WBGene00000408	cdk-7	I
WBGene00000409	cdk-8	I
WBGene00000410	cdk-9	I
WBGene00000411	cdl-1	II
WBGene00000412	cdr-1	V
WBGene00000413	cdt-1	I
WBGene00000414	cec-1	III
WBGene00000415	ced-1	I
WBGene00000416	ced-2	IV
WBGene00000417	ced-3	IV
WBGene00000418	ced-4	III
WBGene00000419	ced-5	IV
WBGene00000420	ced-6	III
WBGene00000421	ced-7	III
WBGene00000422	ced-8	X
WBGene00000423	ced-9	III
WBGene00000424	ced-10	IV
WBGene00000425	ced-11	III
WBGene00000426	ced-12	I
WBGene00000427	ced-13	X
WBGene00000428	ceh-1	X
WBGene00000429	ceh-2	I
WBGene00000430	ceh-5	I
WBGene00000431	ceh-6	I
WBGene00000432	ceh-7	II
WBGene00000433	ceh-8	I
WBGene00000434	ceh-9	I
WBGene00000435	ceh-10	III
WBGene00000436	ceh-12	I
WBGene00000437	ceh-13	III
WBGene00000438	ceh-14	X
WBGene00000439	ceh-16	III
WBGene00000440	ceh-17	I
WBGene00000441	ceh-18	X
WBGene00000442	ceh-19	IV
WBGene00000443	ceh-20	III
WBGene00000444	ceh-21	X
WBGene00000445	ceh-22	V
WBGene00000446	ceh-23	III
WBGene00000447	ceh-24	V
WBGene00000448	pros-1	III
WBGene00000449	ceh-27	V
WBGene00000450	ceh-28	X
WBGene00000451	ceh-30	X
WBGene00000452	ceh-31	X
WBGene00000453	ceh-32	V
WBGene00000454	ceh-33	V
WBGene00000455	ceh-34	V
WBGene00000457	ceh-36	X
WBGene00000458	ceh-37	X
WBGene00000459	ceh-38	II
WBGene00000460	ceh-39	X
WBGene00000461	ceh-40	X
WBGene00000462	ceh-41	X
WBGene00000463	ceh-43	III
WBGene00000464	ceh-44	III
WBGene00000465	cpg-1	III
WBGene00000466	cel-1	I
WBGene00000467	cep-1	I
WBGene00000468	ces-1	I
WBGene00000469	ces-2	I
WBGene00000472	cey-1	II
WBGene00000473	cey-2	I
WBGene00000474	cey-3	I
WBGene00000475	cey-4	III
WBGene00000476	cfi-1	I
WBGene00000477	cft-1	V
WBGene00000478	cfz-2	V
WBGene00000479	cgh-1	III
WBGene00000480	cgp-1	V
WBGene00000481	cha-1	IV
WBGene00000482	chd-3	X
WBGene00000483	che-1	I
WBGene00000484	che-2	X
WBGene00000485	che-3	I
WBGene00000487	che-6	IV
WBGene00000488	che-7	V
WBGene00000490	che-11	V
WBGene00000491	che-12	V
WBGene00000492	che-13	I
WBGene00000493	che-14	I
WBGene00000496	chs-1	I
WBGene00000497	chs-2	II
WBGene00000498	chk-1	V
WBGene00000499	chk-2	V
WBGene00000500	chn-1	I
WBGene00000501	cho-1	IV
WBGene00000502	chp-1	I
WBGene00000503	cht-1	X
WBGene00000506	cic-1	III
WBGene00000507	cit-1.1	III
WBGene00000508	cit-1.2	III
WBGene00000509	cka-1	IV
WBGene00000510	cka-2	X
WBGene00000511	ckb-1	III
WBGene00000512	ckb-2	III
WBGene00000513	ckb-3	III
WBGene00000514	ckb-4	V
WBGene00000515	ckc-1	X
WBGene00000516	cki-1	II
WBGene00000517	cki-2	II
WBGene00000518	ckk-1	III
WBGene00000519	cku-70	III
WBGene00000520	cku-80	III
WBGene00000521	cky-1	V
WBGene00000522	clc-1	X
WBGene00000523	clc-2	X
WBGene00000524	clc-3	X
WBGene00000525	clc-4	X
WBGene00000526	clc-5	X
WBGene00000527	cle-1	I
WBGene00000528	clh-1	II
WBGene00000529	clh-2	II
WBGene00000530	clh-3	II
WBGene00000531	clh-4	X
WBGene00000532	clh-5	II
WBGene00000533	clh-6	V
WBGene00000534	cpi-2	V
WBGene00000535	cpi-1	IV
WBGene00000536	clk-1	III
WBGene00000537	clk-2	III
WBGene00000539	cln-3.1	V
WBGene00000540	cln-3.2	I
WBGene00000541	cln-3.3	V
WBGene00000542	clp-1	III
WBGene00000543	clp-2	III
WBGene00000544	clp-3	I
WBGene00000545	clp-4	III
WBGene00000546	clp-6	IV
WBGene00000547	clp-7	IV
WBGene00000548	clr-1	II
WBGene00000549	cls-2	III
WBGene00000550	clu-1	III
WBGene00000551	clx-1	IV
WBGene00000552	cmd-1	V
WBGene00000553	cmk-1	IV
WBGene00000554	cnb-1	V
WBGene00000555	cnc-1	V
WBGene00000556	cnc-2	V
WBGene00000557	cnc-3	V
WBGene00000558	cnc-4	V
WBGene00000559	cnc-5	V
WBGene00000560	cnc-6	III
WBGene00000561	cnd-1	III
WBGene00000562	cng-1	V
WBGene00000563	cng-3	IV
WBGene00000564	cnk-1	III
WBGene00000565	cnt-1	II
WBGene00000566	cnt-2	III
WBGene00000567	cnx-1	III
WBGene00000583	cof-2	I
WBGene00000584	cog-1	II
WBGene00000585	cogc-2	IV
WBGene00000591	coh-1	X
WBGene00000592	coh-3	V
WBGene00000593	col-2	IV
WBGene00000594	col-3	IV
WBGene00000596	col-7	I
WBGene00000597	col-8	III
WBGene00000598	col-9	X
WBGene00000599	col-10	V
WBGene00000601	col-12	V
WBGene00000602	col-13	V
WBGene00000603	col-14	IV
WBGene00000606	col-17	II
WBGene00000608	col-19	X
WBGene00000609	col-20	II
WBGene00000610	col-33	IV
WBGene00000611	col-34	IV
WBGene00000612	col-35	I
WBGene00000613	col-36	II
WBGene00000614	col-37	V
WBGene00000615	col-38	II
WBGene00000616	col-39	II
WBGene00000617	col-40	II
WBGene00000618	col-41	X
WBGene00000620	col-43	V
WBGene00000621	col-44	X
WBGene00000622	col-45	I
WBGene00000623	col-46	I
WBGene00000624	col-47	I
WBGene00000625	col-48	I
WBGene00000626	col-49	I
WBGene00000627	col-50	I
WBGene00000628	col-51	I
WBGene00000629	col-52	I
WBGene00000630	col-53	I
WBGene00000631	col-54	I
WBGene00000632	col-55	I
WBGene00000633	col-56	I
WBGene00000634	col-58	I
WBGene00000636	col-60	I
WBGene00000637	col-61	I
WBGene00000638	col-62	I
WBGene00000639	col-63	I
WBGene00000640	col-64	I
WBGene00000641	col-65	I
WBGene00000642	col-66	I
WBGene00000644	col-68	II
WBGene00000645	col-69	II
WBGene00000646	H17B01.2	II
WBGene00000647	col-71	II
WBGene00000648	col-72	II
WBGene00000649	col-73	II
WBGene00000650	col-74	II
WBGene00000651	col-75	II
WBGene00000652	col-76	II
WBGene00000653	col-77	II
WBGene00000654	col-78	II
WBGene00000655	col-79	II
WBGene00000656	col-80	II
WBGene00000657	col-81	II
WBGene00000658	col-83	II
WBGene00000659	col-84	II
WBGene00000660	col-85	II
WBGene00000661	col-86	II
WBGene00000662	col-87	II
WBGene00000663	col-88	III
WBGene00000664	col-89	III
WBGene00000665	col-90	III
WBGene00000666	col-91	III
WBGene00000667	col-92	III
WBGene00000668	col-93	III
WBGene00000669	col-94	III
WBGene00000670	col-95	III
WBGene00000671	col-96	III
WBGene00000672	col-97	III
WBGene00000673	col-98	III
WBGene00000674	col-99	IV
WBGene00000675	col-101	IV
WBGene00000676	col-102	IV
WBGene00000677	col-103	IV
WBGene00000678	col-104	IV
WBGene00000679	col-105	IV
WBGene00000680	col-106	IV
WBGene00000681	col-107	IV
WBGene00000682	col-108	IV
WBGene00000683	col-109	IV
WBGene00000684	col-110	IV
WBGene00000685	col-111	IV
WBGene00000687	col-113	IV
WBGene00000688	col-114	IV
WBGene00000689	col-115	IV
WBGene00000690	col-116	IV
WBGene00000691	col-117	IV
WBGene00000692	col-118	IV
WBGene00000693	col-119	IV
WBGene00000694	col-120	IV
WBGene00000695	col-121	IV
WBGene00000696	col-122	IV
WBGene00000697	col-123	IV
WBGene00000698	col-124	IV
WBGene00000699	col-125	IV
WBGene00000700	col-126	IV
WBGene00000701	col-127	IV
WBGene00000702	col-128	IV
WBGene00000703	col-129	IV
WBGene00000704	col-130	IV
WBGene00000705	col-131	IV
WBGene00000706	col-132	IV
WBGene00000707	col-133	IV
WBGene00000708	col-135	IV
WBGene00000709	col-136	IV
WBGene00000710	col-137	IV
WBGene00000711	col-138	IV
WBGene00000712	col-139	V
WBGene00000713	col-140	V
WBGene00000714	col-141	V
WBGene00000715	col-142	V
WBGene00000716	col-143	V
WBGene00000717	col-144	V
WBGene00000718	col-145	V
WBGene00000719	col-146	V
WBGene00000720	col-147	V
WBGene00000721	col-148	V
WBGene00000722	col-149	V
WBGene00000723	col-150	V
WBGene00000724	col-151	V
WBGene00000725	col-152	V
WBGene00000726	col-153	V
WBGene00000727	col-154	V
WBGene00000728	col-155	V
WBGene00000729	col-156	V
WBGene00000730	col-157	V
WBGene00000731	col-158	V
WBGene00000732	col-159	V
WBGene00000733	col-160	V
WBGene00000734	col-161	V
WBGene00000735	col-162	V
WBGene00000736	col-163	V
WBGene00000737	col-164	X
WBGene00000738	col-165	X
WBGene00000739	col-166	X
WBGene00000740	col-167	X
WBGene00000741	col-168	X
WBGene00000742	col-169	X
WBGene00000743	col-170	X
WBGene00000744	col-171	X
WBGene00000745	col-172	X
WBGene00000746	col-173	X
WBGene00000747	col-174	X
WBGene00000748	col-175	X
WBGene00000749	col-176	X
WBGene00000750	col-177	X
WBGene00000751	col-178	X
WBGene00000752	col-179	X
WBGene00000753	col-180	X
WBGene00000754	col-181	X
WBGene00000755	col-182	X
WBGene00000756	col-183	X
WBGene00000757	col-184	X
WBGene00000758	col-185	X
WBGene00000759	col-186	X
WBGene00000760	col-187	X
WBGene00000761	coq-1	I
WBGene00000762	coq-2	III
WBGene00000763	coq-3	IV
WBGene00000764	coq-4	I
WBGene00000765	coq-5	III
WBGene00000766	coq-6	V
WBGene00000767	coq-8	III
WBGene00000768	cor-1	III
WBGene00000770	cpb-1	III
WBGene00000771	cpb-2	II
WBGene00000772	cpb-3	I
WBGene00000773	cpf-1	II
WBGene00000774	cpf-2	III
WBGene00000775	cpin-1	IV
WBGene00000776	cpl-1	V
WBGene00000777	cpn-1	I
WBGene00000778	cpn-2	II
WBGene00000779	cpn-3	I
WBGene00000780	cpn-4	I
WBGene00000781	cpr-1	V
WBGene00000782	cpr-2	V
WBGene00000783	cpr-3	V
WBGene00000784	cpr-4	V
WBGene00000785	cpr-5	V
WBGene00000786	cpr-6	X
WBGene00000787	cps-6	I
WBGene00000788	cpz-1	I
WBGene00000789	cpz-2	V
WBGene00000792	crb-1	X
WBGene00000793	crh-1	III
WBGene00000794	crn-1	I
WBGene00000795	crn-2	V
WBGene00000796	crn-3	II
WBGene00000797	crn-4	X
WBGene00000798	crn-5	II
WBGene00000799	crn-6	III
WBGene00000800	cars-1	I
WBGene00000801	cars-2	I
WBGene00000802	crt-1	V
WBGene00000803	csb-1	X
WBGene00000804	csc-1	II
WBGene00000812	csk-1	I
WBGene00000813	csn-1	V
WBGene00000814	csn-2	I
WBGene00000815	csn-3	IV
WBGene00000816	csn-4	IV
WBGene00000817	csn-5	IV
WBGene00000818	csn-6	IV
WBGene00000819	csp-1	II
WBGene00000820	csp-2	IV
WBGene00000821	csp-3	I
WBGene00000822	csq-1	X
WBGene00000829	ctb-1	MtDNA
WBGene00000830	ctl-1	II
WBGene00000831	ctl-2	II
WBGene00000832	ctn-1	I
WBGene00000833	cts-1	III
WBGene00000834	cua-1	III
WBGene00000835	cuc-1	III
WBGene00000836	cul-1	III
WBGene00000837	cul-2	III
WBGene00000838	cul-3	V
WBGene00000839	cul-4	II
WBGene00000840	cul-5	V
WBGene00000841	cul-6	IV
WBGene00000843	cup-2	I
WBGene00000845	cup-4	III
WBGene00000846	cup-5	III
WBGene00000851	cut-1	II
WBGene00000853	cut-6	III
WBGene00000854	cux-7	III
WBGene00000857	cwn-1	II
WBGene00000858	cwn-2	IV
WBGene00000859	cwp-1	V
WBGene00000860	cwp-2	V
WBGene00000861	cwp-3	V
WBGene00000862	cwp-4	V
WBGene00000863	cya-1	III
WBGene00000864	cya-2	II
WBGene00000865	cyb-1	IV
WBGene00000866	cyb-2.1	IV
WBGene00000867	cyb-2.2	I
WBGene00000868	cyb-3	V
WBGene00000869	cyc-1	I
WBGene00000870	cyd-1	II
WBGene00000871	cye-1	I
WBGene00000872	cyk-1	III
WBGene00000874	cyk-3	III
WBGene00000875	cyk-4	III
WBGene00000876	cyl-1	V
WBGene00000877	cyn-1	V
WBGene00000878	cyn-2	III
WBGene00000879	cyn-3	V
WBGene00000880	cyn-4	II
WBGene00000881	cyn-5	I
WBGene00000882	cyn-6	III
WBGene00000883	cyn-7	V
WBGene00000884	cyn-8	X
WBGene00000885	cyn-9	III
WBGene00000886	cyn-10	II
WBGene00000887	cyn-11	II
WBGene00000888	cyn-12	IV
WBGene00000889	cyn-13	IV
WBGene00000890	sig-7	I
WBGene00000891	cyn-15	I
WBGene00000892	cyn-16	II
WBGene00000893	cyn-17	V
WBGene00000894	dab-1	II
WBGene00000895	dac-1	III
WBGene00000896	dad-1	I
WBGene00000897	daf-1	IV
WBGene00000898	daf-2	III
WBGene00000899	daf-3	X
WBGene00000900	daf-4	III
WBGene00000901	daf-5	II
WBGene00000902	daf-6	X
WBGene00000903	daf-7	III
WBGene00000904	daf-8	I
WBGene00000905	daf-9	X
WBGene00000906	daf-10	IV
WBGene00000907	daf-11	V
WBGene00000908	daf-12	X
WBGene00000910	daf-14	IV
WBGene00000911	daf-15	IV
WBGene00000912	daf-16	I
WBGene00000913	daf-18	IV
WBGene00000914	daf-19	II
WBGene00000915	hsp-90	V
WBGene00000917	daf-25	I
WBGene00000920	daf-28	V
WBGene00000923	daf-31	IV
WBGene00000928	dao-2	II
WBGene00000929	dao-3	X
WBGene00000930	dao-4	X
WBGene00000931	dao-5	I
WBGene00000932	dao-6	III
WBGene00000933	dap-3	II
WBGene00000934	dat-1	III
WBGene00000935	daz-1	II
WBGene00000936	dbl-1	V
WBGene00000937	dbr-1	I
WBGene00000938	dcp-66	I
WBGene00000939	dcr-1	III
WBGene00000940	dcs-1	V
WBGene00000941	ddp-1	III
WBGene00000942	deb-1	IV
WBGene00000950	deg-1	X
WBGene00000951	deg-3	V
WBGene00000952	del-1	X
WBGene00000953	del-2	IV
WBGene00000955	des-2	V
WBGene00000958	dgk-1	X
WBGene00000959	dgk-2	X
WBGene00000960	dgk-3	III
WBGene00000961	dgn-1	X
WBGene00000962	dhc-1	I
WBGene00000963	dhp-1	I
WBGene00000964	dhp-2	IV
WBGene00000965	dhs-1	I
WBGene00000966	dhs-2	I
WBGene00000967	dhs-3	I
WBGene00000968	dhs-4	I
WBGene00000969	dhs-5	II
WBGene00000970	dhs-6	II
WBGene00000971	dhs-7	II
WBGene00000972	dhs-8	II
WBGene00000973	dhs-9	III
WBGene00000974	dhs-11	III
WBGene00000975	dhs-12	IV
WBGene00000976	dhs-13	V
WBGene00000977	dhs-14	V
WBGene00000978	dhs-15	V
WBGene00000979	dhs-16	V
WBGene00000980	dhs-17	V
WBGene00000981	dhs-18	V
WBGene00000982	dhs-19	V
WBGene00000983	dhs-20	V
WBGene00000984	dhs-21	V
WBGene00000985	dhs-22	V
WBGene00000986	dhs-23	V
WBGene00000987	dhs-24	V
WBGene00000988	dhs-25	X
WBGene00000989	dhs-26	X
WBGene00000990	dhs-27	X
WBGene00000991	dhs-28	X
WBGene00000992	dhs-29	X
WBGene00000993	dhs-30	X
WBGene00000994	ints-6	IV
WBGene00000995	die-1	II
WBGene00000996	dif-1	IV
WBGene00000998	dig-1	III
WBGene00001000	dim-1	X
WBGene00001001	dis-3	IV
WBGene00001002	div-1	III
WBGene00001005	dlc-1	III
WBGene00001006	dlg-1	X
WBGene00001007	dli-1	IV
WBGene00001008	dlk-1	I
WBGene00001016	dna-2	II
WBGene00001017	dnc-1	IV
WBGene00001018	dnc-2	III
WBGene00001019	dnj-1	IV
WBGene00001020	dnj-2	IV
WBGene00001021	dnj-3	V
WBGene00001022	dnj-4	I
WBGene00001023	dnj-5	II
WBGene00001025	dnj-7	X
WBGene00001026	dnj-8	II
WBGene00001027	dnj-9	II
WBGene00001028	dnj-10	III
WBGene00001029	dnj-11	IV
WBGene00001030	dnj-12	I
WBGene00001031	dnj-13	II
WBGene00001032	dnj-14	X
WBGene00001033	dnj-15	IV
WBGene00001034	dnj-16	III
WBGene00001035	dnj-17	III
WBGene00001036	dnj-18	III
WBGene00001037	dnj-19	V
WBGene00001038	dnj-20	II
WBGene00001039	dnj-21	I
WBGene00001040	dnj-22	V
WBGene00001041	dnj-23	II
WBGene00001042	dnj-24	III
WBGene00001043	dnj-25	V
WBGene00001044	dnj-26	IV
WBGene00001045	dnj-27	I
WBGene00001046	dnj-28	I
WBGene00001047	dnj-29	I
WBGene00001048	dnj-30	I
WBGene00001049	dog-1	I
WBGene00001050	dom-3	I
WBGene00001051	cks-1	IV
WBGene00001052	dop-1	X
WBGene00001053	dop-2	V
WBGene00001054	dpf-1	V
WBGene00001055	dpf-2	X
WBGene00001056	dpf-3	I
WBGene00001057	dpf-4	III
WBGene00001058	dpf-5	IV
WBGene00001059	dpf-6	III
WBGene00001060	dpf-7	IV
WBGene00001061	dpl-1	II
WBGene00001062	dpr-1	V
WBGene00001063	dpy-1	III
WBGene00001064	dpy-2	II
WBGene00001065	dpy-3	X
WBGene00001066	dpy-4	IV
WBGene00001067	dpy-5	I
WBGene00001068	dpy-6	X
WBGene00001069	dpy-7	X
WBGene00001070	dpy-8	X
WBGene00001071	dpy-9	IV
WBGene00001072	dpy-10	II
WBGene00001073	dpy-11	V
WBGene00001074	dpy-13	IV
WBGene00001075	dpy-14	I
WBGene00001076	dpy-17	III
WBGene00001077	dpy-18	III
WBGene00001078	dpy-19	III
WBGene00001079	dpy-20	IV
WBGene00001080	dpy-21	V
WBGene00001081	dpy-22	X
WBGene00001082	dpy-23	X
WBGene00001085	dpy-26	IV
WBGene00001086	dpy-27	III
WBGene00001087	dpy-28	III
WBGene00001088	dpy-30	V
WBGene00001089	dre-1	V
WBGene00001090	drh-1	IV
WBGene00001091	drh-2	IV
WBGene00001092	dro-1	III
WBGene00001093	drp-1	IV
WBGene00001094	dars-1	III
WBGene00001095	dars-2	V
WBGene00001096	dsc-1	X
WBGene00001099	dsc-4	IV
WBGene00001101	dsh-1	II
WBGene00001102	dsh-2	II
WBGene00001103	dsl-1	IV
WBGene00001104	dsl-2	IV
WBGene00001105	dsl-3	IV
WBGene00001106	dsl-4	X
WBGene00001107	dsl-5	IV
WBGene00001108	dsl-6	IV
WBGene00001109	dsl-7	V
WBGene00001110	duo-1	V
WBGene00001111	duo-2	IV
WBGene00001112	duo-3	I
